,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
4952,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4953,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4954,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4955,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4956,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4957,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
4958,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
4959,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4960,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4961,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4962,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4963,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4964,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4965,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4966,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4967,76 m2,58 m2,,1,1,Multipurpose space ,Used ,,Tirana
4968,96.78 m2,96.78 m2,,1,2,Parking ,New ,,Tirana
4969,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4970,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4971,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4972,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4973,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4974,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4975,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4976,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4977,180 m2,84 m2,,1,1,Apartment ,Under Construction ,,Himarë
4978,85 m2,66 m2,,1,2,Multipurpose space ,Used ,,Tirana
